## k = 0.852
## k = 0.651
(48, 96, 96, 128)
(48, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 6342
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-04m-04s.pkl
*0, train error: 122.80022, time: 1.19
0, train error: 122.80022, time: 1.19
10, train error: 82.46038, time: 1.17
20, train error: 50.87646, time: 1.19
30, train error: 37.17348, time: 1.19
40, train error: 30.23130, time: 1.16
*50, train error: 45.43552, time: 1.18
50, train error: 26.43599, time: 1.16
60, train error: 25.57606, time: 1.15
70, train error: 25.66741, time: 1.16
80, train error: 25.26794, time: 1.17
90, train error: 25.09546, time: 1.18
*100, train error: 25.15946, time: 1.17
100, train error: 24.19040, time: 1.18
110, train error: 24.43383, time: 1.18
120, train error: 24.72511, time: 1.18
130, train error: 24.44613, time: 1.18
140, train error: 23.41425, time: 1.17
*150, train error: 24.18529, time: 1.18
150, train error: 23.90711, time: 1.18
160, train error: 24.44675, time: 1.18
170, train error: 23.49242, time: 1.17
180, train error: 23.79670, time: 1.17
190, train error: 23.94761, time: 1.17
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-08m-05s.pkl
*200, train error: 23.76400, time: 1.17
200, train error: 23.13655, time: 1.17
210, train error: 23.66909, time: 1.17
220, train error: 24.62542, time: 1.17
230, train error: 22.67169, time: 1.17
240, train error: 22.27668, time: 1.17
*250, train error: 23.58514, time: 1.17
250, train error: 24.68279, time: 1.18
260, train error: 22.47547, time: 1.18
270, train error: 22.22261, time: 1.18
280, train error: 23.48331, time: 1.17
290, train error: 22.97327, time: 1.19
*300, train error: 22.83142, time: 1.18
300, train error: 23.00247, time: 1.17
310, train error: 22.46651, time: 1.18
320, train error: 22.04322, time: 1.19
330, train error: 22.74475, time: 1.17
340, train error: 21.95578, time: 1.18
*350, train error: 22.12700, time: 1.18
350, train error: 21.42470, time: 1.18
360, train error: 22.38848, time: 1.18
370, train error: 22.24722, time: 1.18
380, train error: 22.00932, time: 1.18
390, train error: 20.83293, time: 1.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-12m-07s.pkl
*400, train error: 21.83886, time: 1.18
400, train error: 21.71637, time: 1.17
410, train error: 21.40641, time: 1.17
420, train error: 20.56668, time: 1.17
430, train error: 21.69132, time: 1.17
440, train error: 20.74408, time: 1.17
*450, train error: 20.95639, time: 1.17
450, train error: 20.37346, time: 1.18
460, train error: 21.35889, time: 1.18
470, train error: 20.53323, time: 1.18
480, train error: 20.89062, time: 1.17
490, train error: 20.25505, time: 1.17
*500, train error: 20.76506, time: 1.18
500, train error: 20.78753, time: 1.18
510, train error: 20.52206, time: 1.17
520, train error: 20.37212, time: 1.17
530, train error: 19.85212, time: 1.17
540, train error: 20.67999, time: 1.17
*550, train error: 20.27372, time: 1.17
550, train error: 19.94231, time: 1.18
560, train error: 19.52899, time: 1.17
570, train error: 19.91924, time: 1.17
580, train error: 20.20174, time: 1.17
590, train error: 19.69563, time: 1.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-16m-09s.pkl
*600, train error: 19.78781, time: 1.17
600, train error: 19.59347, time: 1.17
610, train error: 20.47742, time: 1.18
620, train error: 19.92642, time: 1.17
630, train error: 19.35429, time: 1.18
640, train error: 19.47697, time: 1.17
*650, train error: 19.75425, time: 1.18
650, train error: 19.53613, time: 1.17
660, train error: 19.53918, time: 1.18
670, train error: 19.62109, time: 1.17
680, train error: 19.44497, time: 1.18
690, train error: 19.42216, time: 1.17
*700, train error: 19.44343, time: 1.18
700, train error: 19.18977, time: 1.18
710, train error: 19.22716, time: 1.17
720, train error: 20.17999, time: 1.17
730, train error: 19.38149, time: 1.17
740, train error: 19.49809, time: 1.17
*750, train error: 19.53072, time: 1.17
750, train error: 19.36686, time: 1.17
760, train error: 19.49487, time: 1.17
770, train error: 19.08284, time: 1.17
780, train error: 19.08797, time: 1.18
790, train error: 18.65495, time: 1.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-20m-10s.pkl
*800, train error: 19.12686, time: 1.18
800, train error: 19.31369, time: 1.18
810, train error: 18.88994, time: 1.19
820, train error: 19.23707, time: 1.18
830, train error: 18.80206, time: 1.17
840, train error: 19.08578, time: 1.18
*850, train error: 18.98387, time: 1.18
850, train error: 18.90451, time: 1.18
860, train error: 18.76340, time: 1.17
870, train error: 18.99229, time: 1.17
880, train error: 18.96030, time: 1.17
890, train error: 19.06873, time: 1.17
*900, train error: 18.97396, time: 1.17
900, train error: 19.08507, time: 1.17
910, train error: 18.58772, time: 1.17
920, train error: 18.47148, time: 1.18
930, train error: 18.59777, time: 1.17
940, train error: 18.95910, time: 1.18
*950, train error: 18.64625, time: 1.18
950, train error: 18.61521, time: 1.17
960, train error: 18.85619, time: 1.18
970, train error: 19.30162, time: 1.18
980, train error: 19.20607, time: 1.18
990, train error: 18.85807, time: 1.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-24m-12s.pkl
*1000, train error: 18.96728, time: 1.18
1000, train error: 18.61448, time: 1.17
1010, train error: 18.60343, time: 1.17
1020, train error: 18.37887, time: 1.17
1030, train error: 18.37799, time: 1.18
1040, train error: 18.50939, time: 1.17
*1050, train error: 18.48881, time: 1.18
1050, train error: 18.57434, time: 1.20
1060, train error: 18.69106, time: 1.17
1070, train error: 18.49882, time: 1.17
1080, train error: 18.25807, time: 1.17
