## k = 0.715
## k = 1.046
(96, 96, 96, 128)
(96, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 11715
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-11h-28m-12s.pkl
1270, train error: 18.60594, time: 2.20
1280, train error: 18.47562, time: 2.17
1290, train error: 18.30044, time: 2.18
*1300, train error: 18.41102, time: 2.19
1300, train error: 18.02814, time: 2.19
1310, train error: 18.38851, time: 2.19
1320, train error: 18.59353, time: 2.19
1330, train error: 18.24886, time: 2.17
1340, train error: 18.25127, time: 2.18
*1350, train error: 18.27890, time: 2.19
1350, train error: 17.91233, time: 2.20
1360, train error: 18.04449, time: 2.19
1370, train error: 18.23559, time: 2.19
1380, train error: 18.48685, time: 2.18
1390, train error: 18.25351, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-12h-20m-05s.pkl
*1400, train error: 18.30213, time: 2.19
1400, train error: 18.49021, time: 2.20
1410, train error: 18.65568, time: 2.20
1420, train error: 18.13227, time: 2.18
1430, train error: 17.99596, time: 2.17
1440, train error: 17.83223, time: 2.19
*1450, train error: 18.19103, time: 2.19
1450, train error: 18.33900, time: 2.19
1460, train error: 18.60341, time: 2.21
1470, train error: 18.88449, time: 2.18
1480, train error: 18.24565, time: 2.20
1490, train error: 17.86259, time: 2.20
*1500, train error: 18.35109, time: 2.19
1500, train error: 18.15933, time: 2.17
1510, train error: 18.17867, time: 2.20
1520, train error: 18.23203, time: 2.18
1530, train error: 18.31323, time: 2.19
1540, train error: 18.22550, time: 2.18
*1550, train error: 18.21741, time: 2.19
1550, train error: 18.13760, time: 2.20
1560, train error: 17.88095, time: 2.19
1570, train error: 17.83614, time: 2.19
1580, train error: 18.08901, time: 2.15
1590, train error: 17.89303, time: 2.22
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-12h-27m-29s.pkl
*1600, train error: 17.91946, time: 2.19
1600, train error: 17.89815, time: 2.18
1610, train error: 17.87980, time: 2.19
1620, train error: 17.82925, time: 2.18
1630, train error: 18.64542, time: 2.20
1640, train error: 18.29715, time: 2.16
*1650, train error: 18.24887, time: 2.19
1650, train error: 18.59274, time: 2.20
1660, train error: 18.03070, time: 2.19
1670, train error: 17.94558, time: 2.18
1680, train error: 17.79281, time: 2.19
1690, train error: 17.75160, time: 2.17
*1700, train error: 17.87394, time: 2.18
1700, train error: 17.84902, time: 2.17
1710, train error: 17.79710, time: 2.20
1720, train error: 17.67440, time: 2.18
1730, train error: 17.68659, time: 2.18
1740, train error: 17.70059, time: 2.17
*1750, train error: 17.81410, time: 2.19
1750, train error: 18.21182, time: 2.20
1760, train error: 17.66313, time: 2.18
1770, train error: 17.65540, time: 2.18
1780, train error: 17.68769, time: 2.21
1790, train error: 17.92487, time: 2.18
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-12h-34m-53s.pkl
*1800, train error: 17.78843, time: 2.19
1800, train error: 18.01104, time: 2.19
1810, train error: 17.79495, time: 2.19
1820, train error: 18.23941, time: 2.19
1830, train error: 17.88758, time: 2.19
1840, train error: 17.39628, time: 2.19
*1850, train error: 17.90426, time: 2.19
1850, train error: 18.20308, time: 2.17
1860, train error: 17.57487, time: 2.19
1870, train error: 17.56052, time: 2.21
1880, train error: 17.55600, time: 2.20
1890, train error: 18.15359, time: 2.20
*1900, train error: 17.78301, time: 2.20
1900, train error: 18.07005, time: 2.18
1910, train error: 17.80212, time: 2.21
1920, train error: 18.10387, time: 2.22
1930, train error: 17.72200, time: 2.22
1940, train error: 17.57527, time: 2.20
*1950, train error: 17.75257, time: 2.21
1950, train error: 17.55956, time: 2.19
1960, train error: 17.56459, time: 2.19
1970, train error: 17.50633, time: 2.18
1980, train error: 18.08187, time: 2.19
1990, train error: 17.96085, time: 2.19
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-12h-42m-19s.pkl
*2000, train error: 17.78381, time: 2.19
2000, train error: 17.80542, time: 2.20
2010, train error: 17.26961, time: 2.19
2020, train error: 17.85824, time: 2.22
2030, train error: 17.70532, time: 2.16
2040, train error: 17.71333, time: 2.20
*2050, train error: 17.65554, time: 2.20
2050, train error: 17.73123, time: 2.20
2060, train error: 17.31816, time: 2.18
2070, train error: 17.86132, time: 2.17
2080, train error: 17.59076, time: 2.22
2090, train error: 17.84921, time: 2.18
*2100, train error: 17.76140, time: 2.19
2100, train error: 18.18755, time: 2.20
2110, train error: 17.70389, time: 2.18
2120, train error: 17.55629, time: 2.16
2130, train error: 17.42216, time: 2.19
2140, train error: 17.53106, time: 2.19
*2150, train error: 17.53524, time: 2.18
2150, train error: 17.46280, time: 2.17
2160, train error: 17.57565, time: 2.17
2170, train error: 17.61099, time: 2.19
2180, train error: 17.80605, time: 2.19
2190, train error: 17.59794, time: 2.20
./
Saving model checkpoint to: ./checkpoints/experiment-11m-11d-12h-49m-43s.pkl
*2200, train error: 17.60841, time: 2.19
2200, train error: 17.45142, time: 2.18
2210, train error: 17.39470, time: 2.24
2220, train error: 17.37876, time: 2.19
2230, train error: 17.60546, time: 2.20
2240, train error: 17.51625, time: 2.19
*2250, train error: 17.41541, time: 2.20
