## k = 0.719
## k = 1.195
(48, 96, 96, 128)
(48, 96, 96, 128)
(16, 96, 96, 128)
Start
PID: 6402
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-04m-18s.pkl
*0, train error: 140.10507, time: 1.40
0, train error: 140.10507, time: 1.40
10, train error: 59.41481, time: 1.34
20, train error: 43.37450, time: 1.35
30, train error: 34.43645, time: 1.36
40, train error: 28.69717, time: 1.35
*50, train error: 38.30670, time: 1.36
50, train error: 25.61056, time: 1.39
60, train error: 24.19846, time: 1.39
70, train error: 23.22194, time: 1.38
80, train error: 22.74685, time: 1.40
90, train error: 22.10343, time: 1.38
*100, train error: 22.92245, time: 1.39
100, train error: 22.34155, time: 1.39
110, train error: 22.58200, time: 1.38
120, train error: 20.77411, time: 1.39
130, train error: 21.30214, time: 1.38
140, train error: 20.89714, time: 1.39
*150, train error: 21.20952, time: 1.39
150, train error: 20.49224, time: 1.39
160, train error: 20.42550, time: 1.39
170, train error: 20.28634, time: 1.39
180, train error: 20.17489, time: 1.38
190, train error: 19.80627, time: 1.39
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-09m-01s.pkl
*200, train error: 20.12095, time: 1.40
200, train error: 19.91175, time: 1.44
210, train error: 20.00652, time: 1.39
220, train error: 19.75067, time: 1.41
230, train error: 19.35124, time: 1.40
240, train error: 19.59599, time: 1.40
*250, train error: 19.66219, time: 1.40
250, train error: 19.60654, time: 1.40
260, train error: 19.62879, time: 1.40
270, train error: 19.08246, time: 1.40
280, train error: 19.41051, time: 1.40
290, train error: 18.79190, time: 1.40
*300, train error: 19.30762, time: 1.40
300, train error: 19.62446, time: 1.40
310, train error: 19.29031, time: 1.39
320, train error: 18.85366, time: 1.40
330, train error: 18.49002, time: 1.40
340, train error: 18.72019, time: 1.40
*350, train error: 18.76542, time: 1.40
350, train error: 18.47293, time: 1.40
360, train error: 18.58125, time: 1.39
370, train error: 18.52050, time: 1.40
380, train error: 18.42960, time: 1.40
390, train error: 18.32807, time: 1.40
./
Saving model checkpoint to: ./checkpoints/experiment-11m-10d-19h-13m-47s.pkl
