## k = 0.200
## k = 0.200
Start
Loading Data
Training Model
./
Saving model checkpoint to: ./checkpoints/xxx-10m-07d-14h-00m-23s.pkl
1200, train error: 0.89922, time: 0.27
&1201, test error: 0.92188, time: 0.35
1210, train error: 0.88125, time: 0.27
1220, train error: 0.88828, time: 0.27
1230, train error: 0.88203, time: 0.27
1240, train error: 0.90859, time: 0.27
*1250, train error: 0.89016, time: 0.27
1250, train error: 0.89062, time: 0.27
&1251, test error: 0.88281, time: 0.35
1260, train error: 0.87734, time: 0.27
1270, train error: 0.90312, time: 0.27
1280, train error: 0.89922, time: 0.27
1290, train error: 0.89219, time: 0.27
*1300, train error: 0.89453, time: 0.27
1300, train error: 0.90078, time: 0.27
&1301, test error: 0.85938, time: 0.35
1310, train error: 0.86797, time: 0.27
1320, train error: 0.88281, time: 0.27
1330, train error: 0.88906, time: 0.27
1340, train error: 0.88359, time: 0.27
*1350, train error: 0.88109, time: 0.27
1350, train error: 0.88203, time: 0.27
&1351, test error: 0.91406, time: 0.35
1360, train error: 0.91328, time: 0.27
1370, train error: 0.88516, time: 0.27
1380, train error: 0.89844, time: 0.27
1390, train error: 0.89062, time: 0.27
*1400, train error: 0.89703, time: 0.27
1400, train error: 0.89766, time: 0.27
&1401, test error: 0.84375, time: 0.36
1410, train error: 0.90000, time: 0.27
1420, train error: 0.90078, time: 0.27
1430, train error: 0.88125, time: 0.27
1440, train error: 0.88594, time: 0.27
*1450, train error: 0.89109, time: 0.27
1450, train error: 0.88750, time: 0.27
&1451, test error: 0.89844, time: 0.35
1460, train error: 0.89141, time: 0.27
1470, train error: 0.90078, time: 0.27
1480, train error: 0.90156, time: 0.27
1490, train error: 0.89453, time: 0.27
*1500, train error: 0.89359, time: 0.27
1500, train error: 0.87969, time: 0.27
&1501, test error: 0.92969, time: 0.35
1510, train error: 0.89062, time: 0.27
1520, train error: 0.90547, time: 0.27
1530, train error: 0.90469, time: 0.27
1540, train error: 0.89844, time: 0.27
*1550, train error: 0.90094, time: 0.27
1550, train error: 0.90547, time: 0.27
&1551, test error: 0.89062, time: 0.35
1560, train error: 0.86875, time: 0.27
1570, train error: 0.88672, time: 0.27
1580, train error: 0.90156, time: 0.27
1590, train error: 0.88984, time: 0.27
*1600, train error: 0.88953, time: 0.27
1600, train error: 0.90078, time: 0.27
&1601, test error: 0.92969, time: 0.35
1610, train error: 0.90000, time: 0.27
1620, train error: 0.87656, time: 0.27
1630, train error: 0.88047, time: 0.27
1640, train error: 0.90000, time: 0.27
*1650, train error: 0.89141, time: 0.27
1650, train error: 0.90000, time: 0.27
&1651, test error: 0.89062, time: 0.35
1660, train error: 0.89062, time: 0.27
1670, train error: 0.86875, time: 0.27
1680, train error: 0.91016, time: 0.27
1690, train error: 0.89687, time: 0.27
*1700, train error: 0.88828, time: 0.27
1700, train error: 0.87500, time: 0.27
&1701, test error: 0.89062, time: 0.35
1710, train error: 0.89531, time: 0.27
1720, train error: 0.89453, time: 0.27
1730, train error: 0.88984, time: 0.27
1740, train error: 0.89453, time: 0.27
*1750, train error: 0.89281, time: 0.27
1750, train error: 0.88984, time: 0.27
&1751, test error: 0.87500, time: 0.35
1760, train error: 0.89062, time: 0.27
1770, train error: 0.89062, time: 0.27
1780, train error: 0.89453, time: 0.27
1790, train error: 0.86016, time: 0.27
*1800, train error: 0.88141, time: 0.27
1800, train error: 0.87109, time: 0.27
&1801, test error: 0.88281, time: 0.35
1810, train error: 0.89922, time: 0.27
1820, train error: 0.89062, time: 0.27
1830, train error: 0.89219, time: 0.27
1840, train error: 0.90078, time: 0.27
*1850, train error: 0.88953, time: 0.27
1850, train error: 0.86484, time: 0.27
&1851, test error: 0.84375, time: 0.36
1860, train error: 0.86562, time: 0.27
1870, train error: 0.88594, time: 0.27
1880, train error: 0.89375, time: 0.27
1890, train error: 0.86094, time: 0.27
*1900, train error: 0.87687, time: 0.27
1900, train error: 0.87813, time: 0.27
&1901, test error: 0.86719, time: 0.36
1910, train error: 0.89219, time: 0.27
1920, train error: 0.88906, time: 0.27
1930, train error: 0.84688, time: 0.27
1940, train error: 0.88281, time: 0.27
*1950, train error: 0.88219, time: 0.27
1950, train error: 0.90000, time: 0.27
&1951, test error: 0.91406, time: 0.35
1960, train error: 0.89687, time: 0.27
1970, train error: 0.89453, time: 0.27
1980, train error: 0.85000, time: 0.27
1990, train error: 0.81875, time: 0.27
./
Saving model checkpoint to: ./checkpoints/xxx-10m-07d-14h-12m-35s.pkl
*2000, train error: 0.85984, time: 0.27
2000, train error: 0.83906, time: 0.27
&2001, test error: 0.93750, time: 0.35
2010, train error: 0.90312, time: 0.27
2020, train error: 0.82656, time: 0.27
2030, train error: 0.89766, time: 0.27
2040, train error: 0.84453, time: 0.27
*2050, train error: 0.87281, time: 0.27
2050, train error: 0.89219, time: 0.27
&2051, test error: 0.89844, time: 0.35
2060, train error: 0.87344, time: 0.27
2070, train error: 0.88516, time: 0.27
2080, train error: 0.82500, time: 0.27
2090, train error: 0.89453, time: 0.27
*2100, train error: 0.86250, time: 0.27
2100, train error: 0.83437, time: 0.27
&2101, test error: 0.88281, time: 0.35
2110, train error: 0.89531, time: 0.27
2120, train error: 0.85000, time: 0.27
2130, train error: 0.87891, time: 0.27
2140, train error: 0.87813, time: 0.27
*2150, train error: 0.87672, time: 0.27
2150, train error: 0.88125, time: 0.27
&2151, test error: 0.92188, time: 0.36
